id,forbidden_word,clean_word
1,🤏🏻,
2,🖕🏿,
3,🖕🏾,
4,🖕🏽,
5,🖕🏼,
6,🖕🏻,
7,🖕,
8,👌🏻👈🏻,
9,👉🏻👌🏻,
10,ﾜｷﾞﾅ,
11,ﾛﾝﾊﾟﾘ,사시
12,ﾛﾝﾄﾞﾝ,런던
13,ﾛｽｹ,러시아인
14,ﾗｲ病,한센병
15,ﾕﾙﾏﾝ,
16,ﾔﾝｷｰ,반항적 분위기를 가진 청소년
17,ﾔﾘﾏﾝ,
18,ﾔﾘまん,
19,ﾏﾝｺ,
20,ﾏｽﾀｰﾍﾞｰｼｮﾝ,
21,ﾏｽﾀｰベーション,
22,ﾏｽﾀｰべーしょん,
23,ﾏンコ,
24,ﾏンこ,
25,ﾏんコ,
26,ﾏんこ,
27,ﾍﾟﾆｽ,
28,ﾌﾟﾛﾃﾞｭｰｻｰ,프로듀서
29,ﾌﾟｯｼｰ,
30,ﾌｪﾗﾁｵ,
31,ﾌｪﾗ,
32,ﾌｨｽﾄﾌｧｯｸ,
33,ﾋﾞｯｺ,장애우
34,ﾋﾓ,경제적 지원을 받으며 지내는 사람
35,ﾋｯｷｰ,은둔형 외톨이
36,ﾊﾟﾝﾏ,여성
37,ﾊﾟﾝ助,여성
38,ﾊﾞﾙﾄﾘﾝ腺液,신체 분비물
39,ﾊﾞﾀ屋,중고 물품을 다루는 상인
40,ﾊﾞｷﾞﾅ,
41,ﾊﾞｶﾁｮﾝ,한국인
42,ﾊｹﾞ,머리숱이 없는 사람
43,ﾈｵｳｨｽﾞ,네오위즈 게임즈
44,ﾆｺﾖﾝ,일용직 노동자
45,ﾆｸﾞﾛ,흑인
46,ﾆｶﾞｰ,어두운 피부색
47,ﾅﾋﾞｹﾞｰﾀｰ,네비게이터
48,ﾄﾙｺ嬢,
49,ﾃﾞﾑﾊﾟ,템파
50,ﾃﾞｨｰﾌﾟｽﾛｰﾄ,
51,ﾁﾝﾎﾟｼﾞｳﾑ,
52,ﾁﾝﾊﾞ,걸음이 불편한 사람
53,ﾁﾝｺ,
54,ﾁﾝｹﾞ,
55,ﾁﾝこ,
56,ﾁｿｺ,
57,ﾁｬﾝｺﾛ,중국인
58,ﾁｪﾘｰﾎﾞｰｲ,연애 경험이 적은 사람
59,ﾁンこ,
60,ﾁんｺ,
61,ﾁんコ,
62,ﾁんこ,
63,ﾀﾞﾒｵﾝ,좋지 않은 상황
64,ﾀﾞｯﾁﾜｲﾌ,
65,ｾｯｸｽ,
66,ｽﾍﾟﾙﾏ,
67,ｽｹｺﾏｼ,
68,ｽｶﾄﾛ,
69,ｼﾞｰｴﾑ,유전자 변형
70,ｼﾞｬﾝｷｰ,약물 의존이 있는 사람
71,ｼﾞｬｯﾌﾟ,일본인
72,ｼﾈ,
73,ｼｮﾝﾍﾞﾝ,배뇨
74,ｻﾞｰﾒﾝ,
75,ｺﾞﾑﾌｪﾗ,
76,ｺﾞﾑ尺,고무로 된 자
77,ｺﾞﾑふぇら,
78,ｺﾞﾐ屋,
79,ｺﾝﾄﾞｰﾑ,
80,ｹﾞｰﾑﾏｽﾀｰ,유전자 변형
81,ｹﾞｰﾑﾁｭｰ,게임 진행
82,ｹﾞｰﾑｵﾝ,게임 시작
83,ｹﾁｬﾏﾝ,
84,ｸﾝﾆﾘﾝｸﾞｽ,
85,ｸﾝﾆ,
86,ｸﾛﾝﾎﾞ,
87,ｸﾘﾄﾘｽ,
88,ｸﾘﾄりす,
89,ｸﾘとﾘｽ,
90,ｸｿ野郎,
91,ｸｿやろう,
