id,forbidden_word,clean_word,reason
1,엠생되는거,속상한 일이야,부정 표현 순화
2,엠생은,속상한 거야,부정 표현 순화
3,지랄,아이고 놀랐어,강한 욕 감탄화
4,엠생이다,속상한 일이야,부정 표현 순화
5,관종짓했지만,관심 받고 싶어해,모욕 표현 완화
6,납셧다,놀랐대,자극적 표현 완화
7,졸라,아주,강조 표현 순화
8,저딴게,저런 게,비하 표현 완화
9,꼬라지를,모습,비하 완화
10,촌놈의,시골 친구의,비하 제거
11,미친년,나쁜 말이야,모욕 제거
12,미친년인가봐,나쁜 말이래,모욕 제거
13,애미애비한테,부모님께,비속어 순화
14,정신병자년이라,아픈 사람이라고,모욕 최소화
15,애비는,아버지는,비속어 순화
16,동생놈은,동생은,비하 제거
17,씨발이게,아이고 이게,욕 감탄화
18,등신도,바보도,초등 단어 순화
19,이런등신을,이런 바보를,모욕 완화
20,등신을,바보를,모욕 완화
21,뱃떼기가,배가,비속어 순화
22,뱃떼기라도,배라도,비속어 순화
23,꼬라지,모습,비하 감소
24,아재,아저씨,어린이 표현화
25,씨발,아이구,욕 감탄화
26,이새끼,이 친구,모욕 완화
27,젠장,아이참,부정 감탄 순화
28,나년,나쁜 여자,욕설 약화
29,노친네랑,어르신과,비하 제거
30,시팔,아이참,욕 완화
31,한남인,남자 사람,혐오 제거
32,아줌마는,아주머니는,중립 표현
33,존나,정말,강조 순화
34,멋진놈이였는데,멋진 사람이었는데,비하 제거
35,씹새끼들아,얘들아,강한 욕 삭제
36,듣보잡,잘 모르는 사람,비하 순화
37,놈이냐,사람이냐,모욕 제거
38,늙은놈이구나,나이 든 분이구나,비하 제거
39,놈은,그 사람은,모욕 제거
40,놈들이나,그 사람들,모욕 제거
41,미친애국자집단돼서,과한 사람들 돼서,모욕 순화
42,지랄하자로,아이고 하자고,욕 감탄화
43,시골,시골,유지
44,촌구석에서,시골에서,비하 제거
45,지랄도,아이고도,욕 감탄화
46,좃소기업주제에,작은 회사인데,비속어 제거
47,좃소사장,작은 회사 사장,비속어 제거
48,좃소,작은 회사,비속어 제거
49,지랄떠니까,아이고 하니까,욕 감탄화
50,놈을,사람을,모욕 제거
51,똥개,강아지,비속 완화
52,새끼,친구,모욕 제거
53,초딩같고,초등학생 같고,비하 약화
54,상놈의,사람의,비하 제거
55,군대한남,군대 간 남자,비하 제거
56,듣보잡이라는,잘 모른다는,비하 순화
57,존나역겨워,정말 싫어,모욕 약화
58,개씨벌새끼,나쁜 사람이야,강한 욕 삭제
59,시발,아이구,욕 감탄화
60,애새끼,아이,모욕 제거
61,어른이냐고시팔,어른이냐고 묻고,욕 제거
62,꼰대야,어른이야,모욕 완화
63,긴 욕설 문장,정중히 표현 수정,모욕 제거
64,꺼져드려야지요,가야지요,위협 제거
65,꼴보기,보기,혐오 제거
66,촌놈은,시골 친구는,비하 제거
67,놈임,사람임,모욕 제거
68,함,했음,표현 단순화
69,그지,가난한 사람,비하 완화
70,초딩입맛,어린 맛,조롱 약화
71,개돼지들의,사람들의,모욕 제거
72,씹인싸,아주 인기 많은,비속어 순화
73,헬조선,힘든 나라,자극 완화
74,그지같아서,너무 싫어서,모욕 완화
75,촌년병이,시골 병이,비하 제거
76,촌년비누하나면,비누 하나면,비하 제거
77,촌년병,시골 병,비하 제거
78,놈,친구,모욕 제거
79,꼴을,모습을,비하 제거
80,그놈들,그 사람들,모욕 제거
81,새끼들이,아이들이,모욕 제거
82,시벌,아이참,욕 완화
